experiment,variant,n,median_ns,p99_ns,min_ns,mean_ns,iters,inner_reps,below_timer_resolution,ops,bytes_touched,notes
progressive,block_bounds_clustered,20000000,25500.0,25600.0,25400.0,25483.333333333332,6,1,False,20000000,4096,one min/max per 1024-row block; skip or accept whole blocks
progressive,full_scan_clustered,20000000,10726600.0,12079000.0,7213700.0,10113950.0,6,1,False,20000000,80000000,decode every u32
progressive,bucket_scalar_clustered,20000000,25132700.0,27289700.0,21640500.0,24653633.333333332,6,1,False,20000000,40000000,16-bit bounds first; residual on boundary bucket only
progressive,bucket_avx2_clustered,20000000,38975900.0,44698800.0,37902000.0,40181566.666666664,6,1,False,20000000,40000000,per-row 16-bit bounds; still one access per record
progressive,block_bounds_clustered,20000000,24500.0,24500.0,24400.0,24466.666666666668,6,1,False,20000000,4096,one min/max per 1024-row block; skip or accept whole blocks
progressive,full_scan_clustered,20000000,10791700.0,11339200.0,6494500.0,9143466.666666666,6,1,False,20000000,80000000,decode every u32
progressive,bucket_scalar_clustered,20000000,15573200.0,16982000.0,12136200.0,14989266.666666666,6,1,False,20000000,40000000,16-bit bounds first; residual on boundary bucket only
progressive,bucket_avx2_clustered,20000000,16654900.0,20255500.0,11150400.0,15173500.0,6,1,False,20000000,40000000,per-row 16-bit bounds; still one access per record
progressive,block_bounds_clustered,20000000,22600.0,22600.0,22600.0,22600.0,6,1,False,20000000,0,one min/max per 1024-row block; skip or accept whole blocks
progressive,argmin_full_clustered,20000000,26262800.0,27553100.0,20617500.0,24380233.333333332,6,1,False,20000000,80000000,full value scan
progressive,argmin_bounds_clustered,20000000,26463100.0,28215800.0,25168500.0,26612216.666666668,6,1,False,20000000,40000000,skip buckets whose min cannot beat current best
progressive,full_scan_spread,20000000,11815400.0,12889800.0,8375400.0,11006066.666666666,6,1,False,20000000,80000000,decode every u32
progressive,bucket_scalar_spread,20000000,18717100.0,20700100.0,17518900.0,18677650.0,6,1,False,20000000,40000000,16-bit bounds first; residual on boundary bucket only
progressive,bucket_avx2_spread,20000000,14378600.0,14788700.0,11379000.0,13484733.333333334,6,1,False,20000000,40000000,per-row 16-bit bounds; still one access per record
progressive,block_bounds_spread,20000000,99900.0,113100.0,48600.0,78416.66666666667,6,1,False,20000000,327680,one min/max per 1024-row block; skip or accept whole blocks
progressive,full_scan_spread,20000000,11923500.0,13168800.0,6617700.0,10281216.666666666,6,1,False,20000000,80000000,decode every u32
progressive,bucket_scalar_spread,20000000,18723000.0,25679300.0,16853100.0,19316616.666666668,6,1,False,20000000,40000000,16-bit bounds first; residual on boundary bucket only
progressive,bucket_avx2_spread,20000000,15300200.0,15915800.0,10484300.0,14346700.0,6,1,False,20000000,40000000,per-row 16-bit bounds; still one access per record
progressive,block_bounds_spread,20000000,11191700.0,13481000.0,6131400.0,9906933.333333334,6,1,False,20000000,78123008,one min/max per 1024-row block; skip or accept whole blocks
progressive,full_scan_spread,20000000,12155100.0,12669500.0,7201000.0,10494083.333333334,6,1,False,20000000,80000000,decode every u32
progressive,bucket_scalar_spread,20000000,51059200.0,58623800.0,48644100.0,51699350.0,6,1,False,20000000,40000000,16-bit bounds first; residual on boundary bucket only
progressive,bucket_avx2_spread,20000000,15562400.0,17729800.0,13244600.0,15572216.666666666,6,1,False,20000000,40000000,per-row 16-bit bounds; still one access per record
progressive,block_bounds_spread,20000000,11246900.0,15924200.0,6746700.0,11128416.666666666,6,1,False,20000000,80003072,one min/max per 1024-row block; skip or accept whole blocks
progressive,full_scan_spread,20000000,10271500.0,12388400.0,6572400.0,9382600.0,6,1,False,20000000,80000000,decode every u32
progressive,bucket_scalar_spread,20000000,65200200.0,66771700.0,58911500.0,63544916.666666664,6,1,False,20000000,40000000,16-bit bounds first; residual on boundary bucket only
progressive,bucket_avx2_spread,20000000,14059200.0,15297100.0,11805000.0,13469183.333333334,6,1,False,20000000,40000000,per-row 16-bit bounds; still one access per record
progressive,block_bounds_spread,20000000,12014300.0,13194900.0,7925200.0,10669650.0,6,1,False,20000000,80003072,one min/max per 1024-row block; skip or accept whole blocks
progressive,argmin_full_spread,20000000,25032000.0,26232300.0,23090400.0,24793650.0,6,1,False,20000000,80000000,full value scan
progressive,argmin_bounds_spread,20000000,17962200.0,28069000.0,14289200.0,19127800.0,6,1,False,20000000,40000000,skip buckets whose min cannot beat current best
certificate,merge_overlap,2000000,17422100.0,19350300.0,16585800.000000002,17521750.0,6,1,False,3148587,25188696,must inspect both inputs; certificate ≈ input
certificate,gallop_overlap,2000000,15687300.000000002,16846300.0,12588500.0,15169200.0,6,1,False,1574067,25185072,galloping loses when output is dense
certificate,merge_sparse,2000000,1899000.0,4629500.0,1737700.0,2744312.5,8,1,False,1881056,15048448,merge still walks the large side
certificate,gallop_sparse,2000000,8300.0,8900.0,8200.0,8325.0,12,1,False,189,12096,work tracks small side + log jumps
certificate,merge_disjoint_range,2000000,2541800.0,6389400.0,1774400.0,3114066.6666666665,6,1,False,4000000,32000000,empty result still walks until one side ends
certificate,bound_certificate_disjoint,2000000,0.341796875,0.3662109375,0.2685546875,0.3436279296875,40,4096,True,2,16,two extrema prove empty intersection
certificate,merge_interleaved_empty,2000000,8114700.000000001,27687700.0,5287000.0,13989240.0,5,1,False,4000000,32000000,"empty result, but bounds overlap; merge is the certificate"
wcoj,leapfrog_two_cliques_40,80,89700.0,132100.0,88300.0,98540.0,5,1,False,1560,24960,intersect neighbor lists; AGM-style
wcoj,binary_expand_two_cliques_40,80,299300.0,300900.0,297100.0,299100.0,3,1,False,121680,1460160,R⋈S materializes two-hop pairs then probes T
wcoj,leapfrog_two_cliques_70,140,438400.0,1606500.0,419300.0,669540.0,5,1,False,4830,77280,intersect neighbor lists; AGM-style
wcoj,binary_expand_two_cliques_70,140,3331900.0,4324300.0,2108000.0,3254733.3333333335,3,1,False,666540,7998480,R⋈S materializes two-hop pairs then probes T
wcoj,leapfrog_er_200_p0.03,200,33100.0,39300.0,26600.0,33100.0,5,1,False,556,8896,intersect neighbor lists; AGM-style
wcoj,binary_expand_er_200_p0.03,200,63399.99999999999,64200.0,62400.0,63333.333333333336,3,1,False,7426,89112,R⋈S materializes two-hop pairs then probes T
wcoj,leapfrog_er_300_p0.02,300,74000.0,81800.0,71900.0,76220.0,5,1,False,941,15056,intersect neighbor lists; AGM-style
wcoj,binary_expand_er_300_p0.02,300,117300.0,121400.0,116900.0,118533.33333333333,3,1,False,13930,167160,R⋈S materializes two-hop pairs then probes T
wcoj,leapfrog_bipartite_150,300,4170400.0000000005,5134300.0,3305200.0,4195000.0,5,1,False,22558,360928,intersect neighbor lists; AGM-style
wcoj,binary_expand_bipartite_150,300,2872300.0,5161100.0,2816600.0,3616666.6666666665,3,1,False,6785012,81420144,R⋈S materializes two-hop pairs then probes T
wcoj,leapfrog_bipartite_250,500,19570800.0,24214700.0,18708200.0,20260820.0,5,1,False,62580,1001280,intersect neighbor lists; AGM-style
wcoj,binary_expand_bipartite_250,500,14195100.0,20167500.0,13961400.0,16108000.0,3,1,False,31330284,375963408,R⋈S materializes two-hop pairs then probes T
coordination,global_cas,400000,58184600.0,61272700.0,56980400.0,58548425.0,4,1,False,1280000,20480000,every reserve contends on one counter
coordination,quota_restock_1,400000,43276100.0,45071500.0,40334600.0,42445325.0,4,1,False,1280000,0,local rights until restock; leftover quota can strand units
coordination,quota_restock_16,400000,45324900.0,45458100.0,41910500.0,43706700.0,4,1,False,1280000,0,local rights until restock; leftover quota can strand units
coordination,quota_restock_256,400000,44244500.0,45739800.0,39674000.0,43437800.0,4,1,False,1280000,0,local rights until restock; leftover quota can strand units
coordination,quota_restock_4096,400000,43299100.0,46007900.0,40308800.0,43105725.0,4,1,False,1280000,0,local rights until restock; leftover quota can strand units
redundancy,sum_from_a_and_b,8000000,11037200.0,12004600.0,6615200.0,9776566.666666666,6,1,False,16000000,128000000,read both source blocks
redundancy,sum_from_coded_c,8000000,5029800.0,7541700.0,3443200.0,5040216.666666667,6,1,False,8000000,64000000,"parity block is the elementwise sum, same width as a source"
redundancy,filter_sum_from_sources,8000000,14519400.0,15024700.0,8541800.0,13223133.333333334,6,1,False,16000000,128000000,predicate on A+B still needs both sources without C
redundancy,filter_sum_from_coded_c,8000000,11283000.0,17560300.0,6877200.0,11055766.666666666,6,1,False,8000000,64000000,same predicate against the recovery block
redundancy,filter_a_only_negative_control,8000000,9279300.0,12035900.0,5023100.0,8354766.666666667,6,1,False,8000000,64000000,C = A+B does not answer predicates on A; coded queryability is operator-specific
redundancy,recover_a_from_b_and_c,8000000,34471900.0,36626700.0,32179300.0,34215800.0,4,1,False,8000000,192000000,erasure repair cost of the same extra block
pgm,binary_linear,5000000,67056599.99999999,75354500.0,57886000.0,66245683.333333336,6,1,False,200000,12800000,classic sorted-array binary search
pgm,pgm_linear,5000000,15856400.0,17864200.0,12026300.0,14927116.666666666,6,1,False,200000,9600000,linear CDF model + bounded correction window
pgm,hash_linear,5000000,20298300.0,27229800.0,19125700.0,22139833.333333332,6,1,False,200000,12800000,"HashMap specialist: extra memory, O(1) expected"
pgm,binary_gaps,5000000,60629500.0,72407500.0,57482200.0,62766766.666666664,6,1,False,200000,12800000,classic sorted-array binary search
pgm,pgm_gaps,5000000,64871399.99999999,71269900.0,56803200.0,65033450.0,6,1,False,200000,9600000,linear CDF model + bounded correction window
pgm,hash_gaps,5000000,25382900.0,26809100.0,19739500.0,23543316.666666668,6,1,False,200000,12800000,"HashMap specialist: extra memory, O(1) expected"
pgm,binary_clusters,5000000,72017500.0,74200100.0,53391900.0,65826033.333333336,6,1,False,200000,12800000,classic sorted-array binary search
pgm,pgm_clusters,5000000,42169400.0,48125300.0,36592200.0,41428783.333333336,6,1,False,200000,9600000,linear CDF model + bounded correction window
pgm,hash_clusters,5000000,25332400.0,29733300.0,19206300.0,24381950.0,6,1,False,200000,12800000,"HashMap specialist: extra memory, O(1) expected"
engine,row_scan_predicate,20000000,97714400.0,111446800.0,95127900.0,99862980.0,5,1,False,20000000,480000000,AoS: filter+project touches full rows
engine,col_scan_scalar,20000000,69146000.0,75621600.0,64071000.0,69738600.0,5,1,False,20000000,160000000,SoA: only the two referenced columns
engine,col_scan_avx2,20000000,87037400.0,92721700.0,82441200.0,87794700.0,5,1,False,20000000,160000000,"same columns, vectorized remaining work"
engine,lookup_4k_independent_bsearch,1000000,326400.0,396900.0,324800.0,343840.0,10,1,False,4000,256000,"4,000 separate binary searches; XOR payload; missing=0; dups independent"
engine,lookup_4k_sorted_merge,1000000,802600.0,2762600.0,480800.0,1133330.0,10,1,False,4000,0,"sort keys, one forward scan; duplicate requests stay on the match"
engine,lookup_4k_direct_id,1000000,4700.0,5200.0,4600.0,4781.25,16,1,False,4000,16000,"dense primary key: 4,000 direct payload loads, same XOR contract"
engine,lookup_4k_independent_bsearch,20000000,1602900.0,8943800.0,912000.0,3369840.0,10,1,False,4000,256000,"4,000 separate binary searches; XOR payload; missing=0; dups independent"
engine,lookup_4k_sorted_merge,20000000,19999900.0,27461400.0,16558000.0,19860350.0,10,1,False,4000,0,"sort keys, one forward scan; duplicate requests stay on the match"
engine,lookup_4k_direct_id,20000000,12100.0,12100.0,12000.0,12068.75,16,1,False,4000,16000,"dense primary key: 4,000 direct payload loads, same XOR contract"
engine,payload_bound,4000,0.0,0.0,0.0,0.0,1,1,True,4000,1024000,network payload lower bound; independent of engine speed
engine,payload_bound,4000,0.0,0.0,0.0,0.0,1,1,True,4000,16384000,network payload lower bound; independent of engine speed
shared_state,rescan_each_query,500000,2641200.0,6513600.0,2512400.0,3291033.3333333335,6,1,False,4000000,32000000,no shared state: scan the key array once per query
shared_state,private_counts,500000,1.85546875,2.5390625,1.85546875,1.943359375,10,1024,True,8,79856,"each query stores its own match list (O(1) count, duplicated memory)"
shared_state,shared_index_counts,500000,525.0,600.0,500.0,525.0,10,4,True,8,512,one sorted array serves every range
shared_state,private_insert,500000,12.890625,14.0625,12.890625,13.0859375,8,256,True,8,64,update fan-out = number of queries
shared_state,shared_insert,500000,1035100.0,1957899.9999999998,971700.0,1136962.5,8,1,False,1,24,one insert into the shared array; queries stay cheap. Vec insert is O(n).
shared_state,rescan_each_query,500000,30097900.0,33890000.0,28285200.0,30199400.0,6,1,False,32000000,256000000,no shared state: scan the key array once per query
shared_state,private_counts,500000,10.9375,11.328125,10.9375,11.015625,10,256,True,64,646096,"each query stores its own match list (O(1) count, duplicated memory)"
shared_state,shared_index_counts,500000,6600.0,15200.0,6500.0,7530.0,10,1,False,64,4096,one sorted array serves every range
shared_state,private_insert,500000,100.0,350.0,75.0,143.75,8,4,True,64,512,update fan-out = number of queries
shared_state,shared_insert,500000,916700.0,1044599.9999999999,201900.0,747087.5,8,1,False,1,24,one insert into the shared array; queries stay cheap. Vec insert is O(n).
shared_state,rescan_each_query,500000,120908400.0,131685699.99999999,113337100.0,120604200.0,6,1,False,128000000,1024000000,no shared state: scan the key array once per query
shared_state,private_counts,500000,62.5,68.75,56.25,62.5,10,16,True,256,2562512,"each query stores its own match list (O(1) count, duplicated memory)"
shared_state,shared_index_counts,500000,27500.0,29500.0,26900.0,27630.0,10,1,False,256,16384,one sorted array serves every range
shared_state,private_insert,500000,800.0,1900.0,500.0,912.5,8,1,True,256,2048,update fan-out = number of queries
shared_state,shared_insert,500000,1212600.0,2468800.0,990200.0000000001,1442350.0,8,1,False,1,24,one insert into the shared array; queries stay cheap. Vec insert is O(n).
shared_state,rescan_each_query,500000,497754700.0,516896600.00000006,402049400.0,472867833.3333333,6,1,False,512000000,4096000000,no shared state: scan the key array once per query
shared_state,private_counts,500000,325.0,350.0,325.0,332.5,10,4,True,1024,10240384,"each query stores its own match list (O(1) count, duplicated memory)"
shared_state,shared_index_counts,500000,120700.0,128500.0,112200.0,119140.0,10,1,False,1024,65536,one sorted array serves every range
shared_state,private_insert,500000,2300.0,6900.0,2000.0,3275.0,8,1,False,1024,8192,update fan-out = number of queries
shared_state,shared_insert,500000,1185600.0,2656200.0,955800.0,1489525.0,8,1,False,1,24,one insert into the shared array; queries stay cheap. Vec insert is O(n).
joint,brute_materialized_scan,60000,2444709300.0,2462256300.0,2442979400.0,2451088180.0,5,1,False,900000000,14400000000,scan every product; no envelope allocated
joint,joint_cells_over_bases,60000,357100.0,365700.0,337900.0,351380.0,10,1,False,15000,480000,envelope on bases; adj is invisible to ranking
joint,joint_mixed_bulk_and_exceptions,60000,299410600.0,314140800.0,294967400.0,301512925.0,4,1,False,15000,0,bulk ops free for ranking; exception rebuilds envelope
joint,brute_mixed_bulk_and_exceptions,60000,2491957900.0,2509021800.0,2473241299.9999995,2491407000.0,3,1,False,900000000,14400000000,same mixed mutations; no envelope construction or rebuild
joint,rebuild_on_irregular_updates,60000,2230139600.0,2240428600.0,2207907300.0,2226158500.0,3,1,False,15000,0,irregular per-row changes deny the bulk-adj identity
correlation,full_columns_tight,8000000,3800800.0,9018800.0,3447000.0,4879150.0,6,1,False,8000000,128000000,scan stored delivery
correlation,model_prune_tight,8000000,10619700.0,12153800.0,7653800.0,10283783.333333334,6,1,False,8000000,64000000,global residual envelope; decode only the uncertain band
correlation,decode_all_tight,8000000,10655800.0,11151000.0,5842500.0,8975116.666666666,6,1,False,8000000,128000000,"lossless but reconstructs every delivery; storage win, scan not cheaper"
correlation,block_bounds_tight,8000000,11400.0,11500.0,11300.0,11383.333333333334,6,1,False,8000000,64000000,"min/max delivery per 1024-row block; same idea as progressive, on the stored column"
correlation,full_columns_moderate,8000000,5060100.0,8011100.0,3463500.0,5247000.0,6,1,False,8000000,128000000,scan stored delivery
correlation,model_prune_moderate,8000000,11828900.0,12863100.0,8241699.999999999,10696850.0,6,1,False,8000000,64000000,global residual envelope; decode only the uncertain band
correlation,decode_all_moderate,8000000,11464900.0,11516200.0,6350300.0,9919850.0,6,1,False,8000000,128000000,"lossless but reconstructs every delivery; storage win, scan not cheaper"
correlation,block_bounds_moderate,8000000,119500.0,122000.0,118100.0,119950.0,6,1,False,8000000,64000000,"min/max delivery per 1024-row block; same idea as progressive, on the stored column"
correlation,full_columns_none,8000000,5059500.0,8001899.999999999,3411900.0,5130616.666666667,6,1,False,8000000,128000000,scan stored delivery
correlation,model_prune_none,8000000,17341200.0,18355100.0,16311599.999999998,17258316.666666668,6,1,False,8000000,64000000,global residual envelope; decode only the uncertain band
correlation,decode_all_none,8000000,10190400.0,11602500.0,6204600.0,8862600.0,6,1,False,8000000,128000000,"lossless but reconstructs every delivery; storage win, scan not cheaper"
correlation,block_bounds_none,8000000,4755500.0,8964400.0,3713500.0,5724766.666666667,6,1,False,8000000,64000000,"min/max delivery per 1024-row block; same idea as progressive, on the stored column"
residue,scalar_recompute_q100,1048576,452667800.0,454166900.0,444352700.0,450150500.0,5,1,False,50331648,402653184,"rescan and round every value for every (p,b)"
residue,histogram_stream_q100,1048576,55000.0,67300.0,39300.0,53612.5,8,1,False,9600,1600,O(q) query; original values retained and updated
residue,histogram_build_q100,1048576,6871200.0,9650500.0,5710800.0,6903966.666666667,6,1,False,1048576,8388608,"one pass to build n, sum, and 2q bins; charged separately"
residue,scalar_recompute_q10000,1048576,445458900.0,451898100.0,437983300.0,445191120.0,5,1,False,50331648,402653184,"rescan and round every value for every (p,b)"
residue,histogram_stream_q10000,1048576,4424800.0,5427700.0,3997100.0,4472662.5,8,1,False,960000,160000,O(q) query; original values retained and updated
residue,histogram_build_q10000,1048576,7810100.0,9258000.0,6341500.0,7713116.666666667,6,1,False,1048576,8388608,"one pass to build n, sum, and 2q bins; charged separately"
residue,unmaintained_filter_negative,1048576,503800.0,766300.0,493700.0,543600.0,6,1,False,1048576,8388608,histogram of x mod 2q does not answer x > T
chase,interleave_1,33554432,575234700.0,589865300.0,569047300.0,575856500.0,5,1,False,4194304,16777216,same logical follows; width is in-flight independent chains
chase,interleave_4,33554432,179195400.0,186434300.0,173080700.0,179358880.0,5,1,False,4194304,16777216,same logical follows; width is in-flight independent chains
chase,interleave_16,33554432,59677900.0,60984300.0,55079700.0,58556940.0,5,1,False,4194304,16777216,same logical follows; width is in-flight independent chains
chase,interleave_32,33554432,47624900.0,53433200.0,43950700.0,48004020.0,5,1,False,4194304,16777216,same logical follows; width is in-flight independent chains
chase,interleave_64,33554432,47973500.0,58799000.0,44070200.0,49318960.0,5,1,False,4194304,16777216,same logical follows; width is in-flight independent chains
prefix,row_scan_clustered,2097152,447965100.0,456435200.0,442781700.0,449060666.6666667,3,1,False,100663296,6442450944,"64-byte rows, scan every record"
prefix,col_scan_clustered,2097152,56764300.0,62857200.0,55866600.0,58496033.333333336,3,1,False,100663296,805306368,"8-byte columns, still every record"
prefix,row_blocks_clustered,2097152,281400.0,375800.0,277000.0,311400.0,3,1,False,48,0,"512-row min/max/sum; clustered can skip, shuffled cannot"
prefix,col_blocks_clustered,2097152,723100.0,1827500.0,182900.0,911166.6666666666,3,1,False,48,0,column layout plus block summaries
prefix,fenwick_build_clustered,2097152,7292800.0,9558700.0,5986400.0,7669080.0,5,1,False,2097152,16777216,"Fenwick construction, charged separately from the stream"
